id,s_name,s_road,s_kind,s_status
52,BHC(비에이치씨)공항신도시점점,"인천광역시 중구 신도시북로43번길 12(운서동, 풍림아이원아파트상가)",호프/통닭,정상
53,BLANC 블랑,인천광역시 중구 영종대로162번길 20(1층 110호 운서동),기타,정상
54,Bistro(비스트로),"인천광역시 중구 하늘별빛로 59(109,110호 중산동, 비전프라자)",호프/통닭,정상
55,C27(씨27),인천광역시 중구 차이나타운로44번길 19(1~4층 북성동2가),기타,정상
56,CENACOLO(체나콜로),인천광역시 중구 신포로15번길 69(1~2층 해안동2가),기타,정상
57,CJ CGV 인천공항,"인천광역시 중구 공항로 271(지하1층 운서동, 인천국제공항교통센터)",기타,정상
58,CJ푸드월드 인천공항점,인천광역시 중구 공항로 272(인천공항제1터미널 일반동 지하1층 운서동),한식,정상
59,CJ프레시웨이 공항노선버스관리소점,인천광역시 중구 공항서로512번길 464(공항노선버스관리소 1층 운서동),한식,정상
60,레시웨이(주) 아시아나인천화물터미널B동식당,인천광역시 중구 운서동 2165-160 아시아나화물터미널B동 3층,한식,정상
61,COFFEE SIR,인천광역시 중구 인중로182번길 12(사동),기타,정상
62,COOGEE COFFEE(쿠지커피),"인천광역시 중구 개항로 64(경동, 1층)",기타,정상
63,CP푸드,인천광역시 중구 우현로67번길 68-4(인현동),호프/통닭,정상
64,Cafe 1920,인천광역시 중구 송학로 24-6(1~2층 송학동3가),기타,정상
65,Cafe 717-3,인천광역시 중구 을왕로13번길 5(2층 일부 을왕동),기타,정상
66,Cafe Calo(카페 깔로),인천광역시 중구 넙디로 116(1층 104호 운남동),기타,정상
67,Camino(까미노),인천광역시 중구 제물량로166번길 14-1(1~2층 신포동),기타,정상
68,Chubby Wallaby (처비 왈라비),인천광역시 중구 햇내로안길 56-7(1층 운서동),기타,정상
69,E.U 함박스테이크,인천광역시 중구 두미포로 58(1층 중산동),경양식,정상
70,F3코리아,인천광역시 중구 화랑목로100번길 27(1층 103호 운서동),한식,정상
71,FIREBELL(파이어벨),인천광역시 중구 영종해안남로321번길 186(파라다이스시티플라자 1층 C블럭 운서동),기타,정상
72,FM카페,인천광역시 중구 우현로67번길 30(1층 인현동),기타,정상
73,FREI RAUM (프라이 라움),인천광역시 중구 대무의로 233(1층 무의동),기타,정상
74,FRONT YARD(앞마당),"인천광역시 중구 영종진로11번길 28(1층 103,104,105호 중산동)",기타,정상
75,Fresh(후레쉬)25샐러드,인천광역시 중구 흰바위로59번길 8(1층 118호 운서동),한식,정상
76,G관광호텔식당,"인천광역시 중구 월미로248번길 1(북성동1가, 1층)",뷔페식,정상
77,J푸드 구내식당,인천광역시 중구 영종대로327번길 14(2층 운서동),한식,정상
78,K-PUB&BBQ,인천광역시 중구 미단행복로 47(1층 운북동),한식,정상
79,K-cafe카페,인천광역시 중구 미단행복로 15(1층 102호 운북동),기타,정상
80,KFC 인천공항교통센터점,인천광역시 중구 공항로 271(인천공항 제1교통센터 지하1층 운서동),기타,정상
81,KKP푸드,인천광역시 중구 신포로39번길 12(1층 송학동3가),분식,정상
82,KK싸롱,"인천광역시 중구 서해대로454번길 9(선화동, 1층)",기타,정상
83,MAI YULE(마이율),인천광역시 중구 월미로260번길 1(북성동1가),기타,정상
84,MIKAMOND(미카몬드),인천광역시 중구 개항로 89(아성 1~2층 경동),기타,정상
85,MK프리미어스호텔식당,인천광역시 중구 월미로260번길 12(1층 북성동1가),한식,정상
86,New 김밥천국,인천광역시 중구 운남안길 10(영종빌딩 106호 운남동),분식,정상
87,PHO(푸디움가든점),인천광역시 중구 제2터미널대로 446(인천공항제2터미널 면세동 4층 운서동),"외국음식전문점(인도,태국등)",정상
88,SCOOP(스쿱),인천광역시 중구 모랫말로16번길 13-21(1층 101호 운서동),기타,정상
89,SKY LIVE(스카이 라이브),인천광역시 중구 운서2로68번길 45(2층 201호 운서동),라이브카페,정상
90,SKY31 인천공항T1점,인천광역시 중구 공항로 272(인천공항 제1여객터미널 일반동  L/S 1층 3-36-05호 운서동),한식,정상
91,SOHO63,인천광역시 중구 송학로 37(1층 송학동3가),,정상
92,SPC라운지,인천광역시 중구 제2터미널대로 446(인천공항제2터미널 면세동 4층 운서동),뷔페식,정상
93,SPC삼립 사누끼보레 인천공항에어사이드점,"인천광역시 중구 공항로 272(면세동 3층 운서동, 인천국제공항여객터미널)",기타,정상
94,SPC삼립 하이면 인천공항탑승동점,"인천광역시 중구 공항로 272(탑승동 3층 운서동, 인천국제공항여객터미널)","외국음식전문점(인도,태국등)",정상
95,SPC삼립빚은 인천공항에어사이드점,"인천광역시 중구 공항로 272(면세동 3층 운서동, 인천국제공항여객터미널)",기타,정상
96,SPC삼립빚은 인천공항탑승동,"인천광역시 중구 공항로 272(탑승동 3층 운서동, 인천국제공항여객터미널)",기타,정상
97,SUNDAYBEST(선데이베스트),인천광역시 중구 화랑목로100번길 28(1층 103호 운서동),기타,정상
98,Stone 1998,인천광역시 중구 우현로35번길 4-1(2층 신포동),기타,정상
99,THE FIVE(더 파이브),인천광역시 중구 용유서로 379(더위크앤리조트 지하4층 일부 을왕동),뷔페식,정상
100,THE KEG,인천광역시 중구 우현로49번길 4-1(내동),한식,정상
101,The Fry 바삭한튀김,인천광역시 중구 영종진광장로 52(블루오션프라자 112호 중산동),분식,정상
102,The 착한포차,"인천광역시 중구 서해대로464번길 14(선화동, 1층)",정종/대포집/소주방,정상
103,Tutti(뚜띠),인천광역시 중구 햇내로13번길 8(프라임시티3 1층 115일부호 운서동),기타,정상
104,Twoyoung투영,인천광역시 중구 흰바위로232번길 73(태원프라자 1층 104호 운남동),기타,정상
105,UFO(유에프오),인천광역시 중구 하늘별빛로65번길 13(세진시티 1층 103호 중산동),기타,정상
106,W-hotel 식당,인천광역시 중구 월미로 211(W호텔 2층 북성동1가),뷔페식,정상
107,WE CAN DINE(위캔다인),인천광역시 중구 용유서로 379(더위크앤리조트 지하3층 일부 을왕동),패밀리레스토랑,정상
108,bbq영종행복점,인천광역시 중구 넙디로 59(1층 101호 운서동),호프/통닭,정상
109,bros kitchen(브로스 키친),인천광역시 중구 영종대로 166(1층 127호 운서동),기타,정상
110,cafe 人(카페인),인천광역시 중구 우현로39번길 12(1층 신포동),기타,정상
111,cafe 뚜기,"인천광역시 중구 자유공원로 5-1(인현동, 1층)",기타,정상
112,cafe023,인천광역시 중구 자유공원로 76(1층 전동),기타,정상
113,gate(게이트),인천광역시 중구 화랑목로100번길 74(1층 103호 운서동),정종/대포집/소주방,정상
114,lykke,인천광역시 중구 차이나타운로51번길 17(1층 북성동3가),기타,정상
115,strEAT 인천공항점,"인천광역시 중구 공항로 272(면세동 3층 운서동, 인천국제공항여객터미널)",패밀리레스토랑,정상
116,wabisabi(와비사비),"인천광역시 중구 신포로31번길 51-1(관동2가, 1층)",기타,정상
117,wknd Lounge(위크엔드라운지 자유공원점),"인천광역시 중구 송학로 63(1,2층 송학동2가)",기타,정상
118,가덕도,인천광역시 중구 연안부두로 61(항동7가),일식,정상
119,가락동 리어카포차,인천광역시 중구 자연대로 47(스타타워2 1층 119호 중산동),정종/대포집/소주방,정상
120,가락동리어카포차 운서역점,"인천광역시 중구 흰바위로59번길 31(운서동, 헤르메스호텔)",정종/대포집/소주방,정상
121,가마두담(1호점),"인천광역시 중구 월촌길 34(1층 104,105호 일부 중산동)",한식,정상
122,가마솥 콩 품었네,인천광역시 중구 백운로 42(1층 중산동),한식,정상
123,가마치통닭 인천도원점,인천광역시 중구 도원로 58(1층 도원동),호프/통닭,정상
124,가선참치,인천광역시 중구 신포로27번길 33(중앙동3가),일식,정상
125,가업식당 인천공항점,인천광역시 중구 공항로 272(인천공항제1터미널 일반동 지하1층 운서동),한식,정상
126,가오리찜벤댕이,인천광역시 중구 참외전로 20(송월동1가),기타,정상
127,가유카페 영종하늘도시점,인천광역시 중구 하늘중앙로195번길 14(이은스퀘어 1층 106호 중산동),기타,정상
128,가이아,인천광역시 중구 영종대로196번길 19(1층 119호~124호 운서동),패밀리레스토랑,정상
129,가장 맛있는 족발,"인천광역시 중구 신도시남로142번길 11-6(101,102호 운서동, 환희빌딩)",한식,정상
130,가정별국,인천광역시 중구 햇내로안길 22-10(1층 운서동),한식,정상
131,가조,인천광역시 중구 신포로46번길 25(1층 내동),한식,정상
132,가족회관,인천광역시 중구 공항로 272(인천국제공항제2교통센터 지하1층 운서동),한식,정상
133,가츠텐,인천광역시 중구 우현로35번길 13-3(1층 신생동),정종/대포집/소주방,정상
134,간다간다뿅간다,"인천광역시 중구 월미문화로 95(북성동1가, 문타운103호)",한식,정상
135,간다간다뿅간다,인천광역시 중구 을왕로 12(을왕동),한식,정상
136,간식나라,인천광역시 중구 운서1로4번길 26(1층 105호 운서동),한식,정상
137,갈비맛집,인천광역시 중구 흰바위로92번길 6-2(1층 101호 운서동),식육(숯불구이),정상
138,갈비애드림,"인천광역시 중구 영종대로 90(107호 운서동, 시에로빌오피스텔)",한식,정상
139,갈비짬뽕 엔 탕수육,인천광역시 중구 모랫말로 6(101호 운서동),한식,정상
140,감자골감자탕,"인천광역시 중구 신도시남로141번길 9(201호 운서동, 골드프라자)",탕류(보신용),정상
141,감자탕본심,인천광역시 중구 큰우물로 3(경동),한식,정상
142,강남식당,"인천광역시 중구 을왕로 28(1,2층 을왕동)",회집,정상
143,강따라산따라,인천광역시 중구 운중로 49(운남동),호프/통닭,정상
144,강씨가문의 족발,인천광역시 중구 하늘달빛로64번길 6-3(스카이 메디컬 프라자 7층 701호 중산동),정종/대포집/소주방,정상
145,강원도,인천광역시 중구 우현로39번길 10-2(1층 신포동),한식,정상
146,강원도집,"인천광역시 중구 신포로23번길 49(중앙동3가, 중앙프라자 1층116호)",한식,정상
147,강화 매운탕,"인천광역시 중구 연안부두로 13(항동7가, 1층)",분식,정상
148,개성만두,"인천광역시 중구 홍예문로 7(중앙동3가, 포트뷰오피스텔 103호)",분식,정상
149,개성손만두,인천광역시 중구 운중로 103(1층 2호 운남동),한식,정상
150,개성집,인천광역시 중구 신포로23번길 65(1층 중앙동2가),한식,정상
151,개항로 고깃집,인천광역시 중구 개항로 94(1층 경동),식육(숯불구이),정상
152,개항로91,"인천광역시 중구 개항로 91(1,2층 101,201호 경동)",기타,정상
153,개항로통닭,"인천광역시 중구 참외전로 164(대원공사,경인장례문화원 1층 경동)",호프/통닭,정상
154,개항면,인천광역시 중구 개항로 108-1(1~2층 경동),한식,정상
155,갯골이야기,"인천광역시 중구 예단포1로 2-10(운북어촌계 어항편익시설 1층 7,8호 운북동)",한식,정상
156,갯마을,"인천광역시 중구 예단포1로 2-10(3,4호 운북동)",한식,정상
157,갱스터,인천광역시 중구 신포로 32-6(신포동),호프/통닭,정상
158,거기야,인천광역시 중구 운서1로4번길 36(1층 101호 운서동),한식,정상
159,거잠도 회 수산,"인천광역시 중구 영종해안남로 32(6동 110,210호 운서동, 종합회타운)",회집,정상
160,걸작 떡볶이 치킨,인천광역시 중구 하늘달빛로 70(110호 중산동),기타,정상
161,걸작떡볶이 영종센트럴타워점,인천광역시 중구 영종대로196번길 15-10(센트럴타워 1층 116호 운서동),분식,정상
162,게런티,인천광역시 중구 신도시남로150번길 2(영종상가 201호 운서동),호프/통닭,정상
163,겐코 영종운서역점,인천광역시 중구 신도시남로142번길 6(메가스타 영종 188호 운서동),기타,정상
164,경기호,"인천광역시 중구 예단포1로 2-10(17,18호 운북동)",한식,정상
165,경기회집,인천광역시 중구 을왕로 48(을왕동),일식,정상
166,경남회집,인천광역시 중구 월미문화로 59(북성동1가),한식,정상
167,경남회집,인천광역시 중구 우현로45번길 24-1(신포동),회집,정상
168,경동만두,인천광역시 중구 우현로 60-1(용동),분식,정상
169,경동식당,인천광역시 중구 경동 200-9 /1,한식,정상
170,경동양과점,인천광역시 중구 개항로 103(1~2층 경동),기타,정상
171,경미루,"인천광역시 중구 제물량로113번길 22-11(신흥동1가, ,1층)",중국식,정상
172,경북회집,"인천광역시 중구 연안부두로33번길 17(항동7가, 맘모스회센타21호)",일식,정상
173,경성술집 하늘도시점,인천광역시 중구 중산동 1885-8 썬앤문타워 2층 201호,정종/대포집/소주방,정상
174,경성진순대,인천광역시 중구 서해대로483번길 8-1(1층 유동),기타,정상
175,경아식당,인천광역시 중구 연안부두로 141(2층 항동7가),기타,정상
176,경인 면옥,인천광역시 중구 신포로46번길 38(1~2층 내동),한식,정상
177,계화기,인천광역시 중구 개항로 7-2(1층 중앙동4가),한식,정상
178,고구려 김밥,인천광역시 중구 제물량로 80-2(1층 신흥동2가),분식,정상
179,"고기,원칙 운서점","인천광역시 중구 신도시남로149번길 1(103,104호 운서동, 다모아프라자)",식육(숯불구이),정상
180,고기SO고기,인천광역시 중구 우현로39번길 5-1(1층 신포동),식육(숯불구이),정상
181,고기굼터,인천광역시 중구 신도시남로142번길 3(102호 운서동),식육(숯불구이),정상
182,고기극찬 영종도점,인천광역시 중구 햇내로안길 22-3(1층 103호 운서동),한식,정상
183,고기랑쌈이랑,인천광역시 중구 운중로 92-1(1층 운남동),한식,정상
184,고기로,"인천광역시 중구 하늘중앙로225번길 12(정인타워 3층 301,302,303호 중산동)",식육(숯불구이),정상
185,고기를사랑하는집,"인천광역시 중구 자연대로 47(1층 114,115호 중산동)",식육(숯불구이),정상
186,고기명가 서서갈비,인천광역시 중구 모랫말로16번길 13-47(101호 운서동),식육(숯불구이),정상
187,고기섬 횟집,인천광역시 중구 떼무리길 9(A동 1층 무의동),회집,정상
188,고기원칙,인천광역시 중구 하늘별빛로65번길 7-9(1층 109호 중산동),식육(숯불구이),정상
189,고기학교,인천광역시 중구 운중로 213(2층 중산동),식육(숯불구이),정상
190,고담,인천광역시 중구 제물량로 123(1층 답동),경양식,정상
191,고래감자탕,인천광역시 중구 개항로 23-1(관동3가),식육(숯불구이),정상
192,고래등,인천광역시 중구 영종해안남로 32(3동 2층 204호 운서동),한식,정상
193,고래마켓 A동 205호 양념식당,인천광역시 중구 축항대로69번길 20(A동 2층 205호 항동7가),회집,정상
194,고래마켓 A동 210호 양념식당,인천광역시 중구 축항대로69번길 20(A동 2층 210호 항동7가),회집,정상
195,고래마켓 C동 209호 양념식당,인천광역시 중구 축항대로69번길 16(C동 2층 209호 항동7가),회집,정상
196,고래마켓 C동 찜타운,인천광역시 중구 축항대로69번길 16(인천국제수산물타운 C동 1층 1호~146호 항동7가),일식,정상
197,고래해물칼국수전문점,인천광역시 중구 은하수로 43(101~107호 중산동),한식,정상
198,고량,"인천광역시 중구 신도시남로141번길 2(107호 운서동, 대원프라자)",중국식,정상
199,고려 양꼬치,인천광역시 중구 하늘별빛로65번길 7-9(1층 101호 중산동),식육(숯불구이),정상
200,고려식당,"인천광역시 중구 참외전로 117-15(인현동, 새동인천지하상가 72호지하1층)",한식,정상
201,고메랑,인천광역시 중구 운중로 81(1층 운남동),경양식,정상
202,고목정,인천광역시 중구 용유서로172번길 10(1층 을왕동),한식,정상
203,고씨네 카레,인천광역시 중구 신도시남로142번길 6(메가스타 영종 1층 178호 운서동),한식,정상
204,고양이 책방,인천광역시 중구 모랫말로 6-3(W더블유 1층 101호 운서동),기타,정상
205,고은장례식장,인천광역시 중구 연안부두로21번길 11-12(지1층 항동7가),한식,정상
206,고집불통한우촌,인천광역시 중구 운중로 182(중산동),식육(숯불구이),정상
207,고피자 영종도점,"인천광역시 중구 흰바위로 34(상가동 101호 운서동, 영종주공스카이빌아파트)",기타,정상
208,고피자 영종하늘도시점,인천광역시 중구 영종대로 911(블루오션1차 1층 106호 중산동),기타,정상
209,고향농가,인천광역시 중구 백운로 51-15(중산동),한식,정상
210,고향식당,인천광역시 중구 월미로 28(북성동1가),한식,정상
211,고향식당,인천광역시 중구 백운로186번길 157(운북동),한식,정상
212,고향정,인천광역시 중구 우현로39번길 21-1(신포동),한식,정상
213,고향집,"인천광역시 중구 공항로424번길 66(101,102호 운서동, 에클라트)",한식,정상
214,고향한식부페,"인천광역시 중구 축항대로290번길 12(신흥동3가, 바다로A동 2층)",한식,정상
215,고흥식당,"인천광역시 중구 서해대로 214(신흥동3가, 53-9번지 지하1층)",한식,정상
216,곡가,"인천광역시 중구 자유공원남로 3(관동1가, 1층)",중국식,정상
217,"곤지암할매 감자탕,족발,보쌈","인천광역시 중구 신도시남로141번길 5-12(105,106호 운서동, 화평에어빌)",한식,정상
218,곧망할집,"인천광역시 중구 월미문화로 95(북성동1가, 문타운211호)",한식,정상
219,골드홀릭,인천광역시 중구 월미문화로 71(1층 103호 북성동1가),분식,정상
220,골목영양탕,"인천광역시 중구 도원서길 25-1(신흥동2가, 1-141층)",분식,정상
221,골목정원,인천광역시 중구 신포로 32-16(1층 신포동),기타,정상
222,골목집,인천광역시 중구 선화동 38-2 .8.9,한식,정상
223,골프카페,"인천광역시 중구 흰바위로232번길 73(태원프라자 7층 701,702호 운남동)",기타,정상
224,곰뿌카레,인천광역시 중구 오작로 102-1(테온 1층 101호 중산동),기타,정상
225,곱돌이곱창,"인천광역시 중구 하늘중앙로195번길 23(106호 중산동, 하늘프라자)",호프/통닭,정상
226,곱분이 곱창,인천광역시 중구 신도시남로142번길 6(메가스타 영종 182호 운서동),기타,정상
227,곱앤낙,인천광역시 중구 햇내로안길 48-8(1층 102호 운서동),한식,정상
228,곱창곱창,인천광역시 중구 하늘달빛로 94(1층 117호 중산동),한식,정상
229,곱창이야기,인천광역시 중구 하늘별빛로65번길 13(세진시티 101호 중산동),호프/통닭,정상
230,공감,인천광역시 중구 내동 16-1,호프/통닭,정상
231,공릉동원조멸치국수 중산점,인천광역시 중구 하늘달빛로 80(LS타워 1층 101호 중산동),분식,정상
232,공원앞테이블,인천광역시 중구 화랑목로100번길 77(1층 운서동),경양식,정상
233,공항가든,인천광역시 중구 남북로88번길 19(남북동),한식,정상
234,공항마을,"인천광역시 중구 신도시남로 28(301호 운서동, 영종에어포트2)",한식,정상
235,공항밥집,"인천광역시 중구 공항로424번길 50(132호 운서동, 월드게이트)",한식,정상
236,공항샤브칼국수,인천광역시 중구 운중로48번길 94(1층 운남동),한식,정상
237,공항셀프라면,인천광역시 중구 흰바위로 31(에어로시티 2층 202호 운서동),분식,정상
238,공화춘,"인천광역시 중구 차이나타운로 43(2,3,4층 북성동3가)",중국식,정상
239,공화춘,인천광역시 중구 자유공원서로 5(2층 북성동3가),중국식,정상
240,관광호텔준,인천광역시 중구 신도시남로150번길 18(운서동),경양식,정상
241,광명어촌계식당,인천광역시 중구 대무의로 523-2(무의동),회집,정상
242,광어부인정때문에,"인천광역시 중구 월미문화로 95(북성동1가, 문타운101호)",한식,정상
243,광장포차,인천광역시 중구 하늘중앙로195번길 24(3층 303호 중산동),정종/대포집/소주방,정상
244,광주식당,"인천광역시 중구 운중로 22(1층 운남동, 중앙빌딩)",한식,정상
245,광화문도깨비만찬,인천광역시 중구 흰바위로 31(에어로시티 2층 203호 운서동),한식,정상
246,괜찮은꼬치집,"인천광역시 중구 우현로83번길 8(인현동, 1층)",한식,정상
247,교동짬뽕,인천광역시 중구 넙디로 72(102호 운서동),한식,정상
248,교촌치킨 공항신도시점,인천광역시 중구 신도시남로150번길 6(덕양프라자 102호 운서동),호프/통닭,정상
249,교촌치킨 영종하늘도시점,"인천광역시 중구 하늘중앙로195번길 24(108,109호 중산동, 광장프라자)",호프/통닭,정상
250,구가네자금성,"인천광역시 중구 운중로 175(유피빌딩 101,102,103호 중산동)",중국식,정상
251,구가당씨,인천광역시 중구 답동로 27(경동),한식,정상
252,구구닭,인천광역시 중구 운중로 84(1층 운남동),호프/통닭,정상
253,구내식당,"인천광역시 중구 연안부두로33번길 37(항동7가, 70,71,72종합어시장내 7동3호)",한식,정상
254,구르미 머무는,인천광역시 중구 은하수로 12(501호 중산동),기타,정상
255,구운몽,인천광역시 중구 신포로35번길 8-1(송학동3가),한식,정상
256,구워주는연탄갈비,인천광역시 중구 우현로67번길 33(1층 내동),기타,정상
257,구읍뱃터조개구이2호점,인천광역시 중구 은하수로 3(영종관광어시장 1층 101호 중산동),한식,정상
258,구이구이,인천광역시 중구 도원로7번길 2(선화동),한식,정상
259,국&밥,"인천광역시 중구 공항동로295번길 77-65(B동 124,125호 운서동, 아시아나화물터미널)",한식,정상
260,국가대표,인천광역시 중구 운중로 176(중산동),중국식,정상
261,국대떡볶이,"인천광역시 중구 인중로 134(신생동, 이마트동인천점 1층)",분식,정상
262,국민양푼이동태탕,인천광역시 중구 운중로 82(1층 운남동),한식,정상
263,국민짬뽕,인천광역시 중구 운남안길 16(1층 101호 운남동),중국식,정상
264,국민커피,"인천광역시 중구 연안부두로33번길 36(항동7가, 1층)",기타,정상
265,국보갈비탕(운남점),"인천광역시 중구 전소로 12(1,2층 운남동)",식육(숯불구이),정상
266,국보한식뷔페,인천광역시 중구 백운로186번길 72(1층 운북동),뷔페식,정상
267,국보한식뷔페 미단점,"인천광역시 중구 미단소망로 52(로얄페스타 1층 105,106호 운북동)",한식,정상
268,국수나무,"인천광역시 중구 흰바위로 35(1층 102호 운서동, 영종해수사우나)",분식,정상
269,국수나무 운서넙디점,"인천광역시 중구 운서2로68번길 3(105호 운서동, 엘스퀘어)",분식,정상
270,국수제비,"인천광역시 중구 큰우물로 1-1(경동, 1층)",분식,정상
271,국수평천하 인천본점,인천광역시 중구 신포로27번길 21-1(중앙동4가),한식,정상
272,국시공방,인천광역시 중구 영종대로 190(더 예스 스카이 111호 운서동),기타,정상
273,국제식당,인천광역시 중구 제물량로 150-2(신포동),한식,정상
274,국제업무지구3현장식당,인천광역시 중구 용유서로 534(1층 을왕동),한식,정상
